date,new_cases,upToDate,Cuebiq_Mobility,Kinsa_AnomalousFeverAbsolute,cdc_ili,Twitter_RelatedTweets,google_fever
1/1/20,0,0,3.452806647,0,0,0,0
1/2/20,0,0,3.861362973,0,0,0,0
1/3/20,0,0,3.89631777,0,0,0,0
1/4/20,0,0,3.753271481,0,0,0,0
1/5/20,0,0,3.501030821,0,0,0,0
1/6/20,0,0,3.83684531,0,0,0,0
1/7/20,0,0.89481455,3.867121215,0,7.20500252,65.14285714,3803.309467
1/8/20,0,0.89481455,3.878505964,0,6.891031339,64.85714286,3505.237073
1/9/20,0,0.89481455,3.88212825,0,6.567136115,70,3412.719322
1/10/20,0,0.89481455,3.888525162,0,6.240231049,73.28571429,3374.626868
1/11/20,0,0.596543033,3.754425087,0,5.917591049,78.85714286,3170.185142
1/12/20,0,0.298271517,3.517076895,0,5.612544646,78.57142857,3103.158194
1/13/20,0,0,3.688613157,0,5.329184325,81.71428571,3058.682685
1/14/20,0,0,3.573404657,0,5.072150686,82.42857143,2961.408804
1/15/20,0,0,3.624830644,0,4.846632447,85.71428571,3107.096169
1/16/20,0,0,3.833315643,0,4.658366441,84.14285714,3146.138621
1/17/20,0,0,3.904612604,0,4.513637619,80,3229.019319
1/18/20,0,0,3.807222504,0,4.419279047,73.28571429,3394.095517
1/19/20,0,0.11868267,3.643012187,0,4.345554558,72,3372.159234
1/20/20,0,0.23736534,3.788709665,0,4.291844465,69,3416.323856
1/21/20,0,0.695366065,3.876280132,0,4.257274815,76,3366.9466
1/22/20,0.142857143,1.204479263,3.880757256,0,4.240717381,80.14285714,3338.384834
1/23/20,0.142857143,1.895396594,3.88524611,0,4.240789665,84.42857143,3350.539281
1/24/20,0.142857143,2.617471208,3.927957567,0,4.255854898,91.85714286,3523.042964
1/25/20,0.142857143,3.169750679,3.816556214,0,4.284022041,102.4285714,3613.773775
1/26/20,0.142857143,3.812303817,3.669349832,0,4.316925645,111.7142857,3683.538413
1/27/20,0.142857143,4.421650881,3.856201969,0,4.354351042,119,3766.137243
1/28/20,0.142857143,4.777228725,3.875282939,0,4.395575478,118.4285714,3915.763198
1/29/20,0,4.775746521,3.881150788,0,4.43936812,118.5714286,3789.845531
1/30/20,0,4.255190919,3.891378959,0,4.483990051,125.1428571,3942.29536
1/31/20,0,4.00150524,3.931112311,0,4.527194272,132.5714286,3901.893118
2/1/20,0,4.072105531,3.825217965,0,4.566225701,128.2857143,3906.608499
2/2/20,0,4.132959024,3.613967793,0,4.598700047,125.7142857,3871.268561
2/3/20,0,4.011683954,3.857722445,0,4.621050648,122.2857143,3723.143305
2/4/20,0,3.651080579,3.868310115,0,4.630008786,120.2857143,3536.548026
2/5/20,0,3.397215242,3.875462842,0,4.622603686,117.5714286,3560.004608
2/6/20,0,3.681017575,3.886403774,0,4.596162522,109.5714286,3507.756514
2/7/20,0,3.581268451,3.925680162,0,4.548310408,102.5714286,3362.797599
2/8/20,0,3.776328378,3.843415924,0,4.476970408,106,3153.787765
2/9/20,0,3.693116203,3.70028035,0,4.402116472,107.7142857,3143.060555
2/10/20,0,4.074010353,3.869062758,0,4.327269771,107,3288.980462
2/11/20,0,4.414194924,3.886515554,0,4.25586287,105.1428571,3310.849645
2/12/20,0,4.924690488,3.909495291,0,4.191239721,106,3474.637956
2/13/20,0,5.279387233,3.914232229,0,4.136655665,109,3415.329279
2/14/20,0,5.464797401,3.975549053,0,4.095277433,107.4285714,3332.354059
2/15/20,0,5.173518462,3.848605522,0,4.070183148,103.2857143,3422.542963
2/16/20,0,4.930714586,3.721138414,0,4.050256504,98.71428571,3459.500437
2/17/20,0,4.620915394,3.821149781,0,4.035277594,99,3368.911423
2/18/20,0,4.272315776,3.904256638,0,4.024832682,98.42857143,3452.86417
2/19/20,0,4.127836112,3.912462024,0,4.018314202,95.28571429,3468.191111
2/20/20,0,3.756980489,3.920743161,0,4.01492076,94.14285714,3540.121102
2/21/20,0,4.220548397,3.956261969,0,4.013657136,96.14285714,3546.512107
2/22/20,0,4.501211938,3.860740389,0,4.013334279,104.1428571,3526.014376
2/23/20,0,5.190271992,3.663463978,0,4.014959615,107.4285714,3474.580124
2/24/20,0,6.192454563,3.870520276,0,4.021875929,110.2857143,3712.092645
2/25/20,0,7.992545262,3.893166429,0,4.036868817,118,3755.915755
2/26/20,0,10.26798363,3.911420303,0,4.06216669,135.2857143,3694.457122
2/27/20,0,12.38971135,3.918945464,0,4.099440772,167.4285714,3835.312764
2/28/20,0,15.66694322,3.956855072,0,4.149805102,211.5714286,4143.699821
2/29/20,0.857142857,20.54649558,3.872751738,0,4.213816531,272,4385.754869
3/1/20,1.428571429,26.56453512,3.71346524,0,4.297807697,325.8571429,4772.193794
3/2/20,2.428571429,31.34551895,3.851633614,0,4.410191878,405.2857143,5077.364081
3/3/20,3.714285714,35.04243913,3.87520417,228.8428343,4.558276028,487.4285714,5436.388895
3/4/20,5.428571429,38.35948745,3.886696533,688.4158159,4.748260781,559.7142857,6076.772995
3/5/20,9.857142857,41.89173419,3.878117572,783.7703492,4.985240447,628.8571429,6289.916533
3/6/20,11,44.95314342,3.897469945,1585.968794,5.273203018,685.7142857,6633.918702
3/7/20,13.57142857,46.42074869,3.78479035,2175.629949,5.615030161,722.1428571,6821.044445
3/8/20,15.85714286,47.7636042,3.619421767,3390.455962,5.934971347,744.2857143,6812.390181
3/9/20,14.85714286,49.01566548,3.813359238,4810.295599,6.221000948,758,6639.064249
